study_key,pmid,doi,year,journal,venue_community,rule
S064,37384951.0,10.1016/j.media.2023.102872,2023,Medical image analysis,engineering_methods,keyword match on journal title; see 5_Code/venue_classification.py
S065,36702502.0,10.3174/ajnr.a7777,2023,AJNR. American journal of neuroradiology,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S066,,10.1007/s00062-023-01261-7,2023,Clinical Neuroradiology,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S067,,10.48550/arxiv.2305.00088,2023,arXiv.org,engineering_methods,keyword match on journal title; see 5_Code/venue_classification.py
S068,37797482.0,10.1016/j.media.2023.102942,2023,Medical image analysis,engineering_methods,keyword match on journal title; see 5_Code/venue_classification.py
S069,36433748.0,10.1002/mp.16119,2023,Medical physics,engineering_methods,keyword match on journal title; see 5_Code/venue_classification.py
S070,36867912.0,10.1016/j.media.2023.102744,2023,Medical image analysis,engineering_methods,keyword match on journal title; see 5_Code/venue_classification.py
S071,37125656.0,10.1002/mrm.29684,2023,Magnetic resonance in medicine,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S072,37058493.0,10.1371/journal.pone.0284440,2023,PloS one,general_neuroscience,keyword match on journal title; see 5_Code/venue_classification.py
S073,37237139.0,10.1038/s41598-023-35794-1,2023,Scientific reports,general_neuroscience,keyword match on journal title; see 5_Code/venue_classification.py
S074,37284977.0,10.1007/s12021-023-09635-5,2023,Neuroinformatics,engineering_methods,keyword match on journal title; see 5_Code/venue_classification.py
S075,36106429.0,10.1002/nbm.4831,2023,NMR in biomedicine,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S076,37010811.0,10.1002/mrm.29647,2023,Magnetic resonance in medicine,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S077,37784039.0,10.1186/s12880-023-01109-z,2023,BMC medical imaging,general_neuroscience,keyword match on journal title; see 5_Code/venue_classification.py
S078,36856903.0,10.1007/s10278-022-00697-6,2023,Journal of digital imaging,unclassified,keyword match on journal title; see 5_Code/venue_classification.py
S079,37394534.0,10.1186/s41747-023-00351-y,2023,European radiology experimental,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S080,,10.1007/978-3-031-46914-5_23,2023,Shape in Medical Imaging,engineering_methods,keyword match on journal title; see 5_Code/venue_classification.py
S081,,10.1007/978-3-031-43999-5_47,2023,Medical Image Computing and Computer Assisted Intervention – MICCAI 2023,engineering_methods,keyword match on journal title; see 5_Code/venue_classification.py
S082,37285247.0,10.1109/tmi.2023.3283948,2023,IEEE transactions on medical imaging,engineering_methods,keyword match on journal title; see 5_Code/venue_classification.py
S083,38167996.0,10.1002/mp.16918,2024,Medical physics,engineering_methods,keyword match on journal title; see 5_Code/venue_classification.py
S084,,10.1038/s41598-024-59705-0,2024,Scientific Reports,general_neuroscience,keyword match on journal title; see 5_Code/venue_classification.py
S085,,10.1109/access.2024.3408840,2024,IEEE Access,engineering_methods,keyword match on journal title; see 5_Code/venue_classification.py
S086,38400805.0,10.1002/jmri.29308,2024,Journal of magnetic resonance imaging : JMRI,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S087,38009996.0,10.1002/mrm.29937,2024,Magnetic resonance in medicine,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S088,,10.3174/ajnr.a8143,2024,American Journal of Neuroradiology,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S089,39434010.0,10.1186/s12880-024-01463-6,2024,BMC medical imaging,general_neuroscience,keyword match on journal title; see 5_Code/venue_classification.py
S090,39455814.0,10.1038/s41598-024-76592-7,2024,Scientific reports,general_neuroscience,keyword match on journal title; see 5_Code/venue_classification.py
S091,38621552.0,10.1016/j.mri.2024.04.013,2024,Magnetic resonance imaging,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S092,,10.48550/arxiv.2409.00807,2024,NeuroImage,general_neuroscience,keyword match on journal title; see 5_Code/venue_classification.py
S093,38342980.0,10.1002/mrm.30045,2024,Magnetic resonance in medicine,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S094,38942939.0,10.1007/s10278-024-01184-w,2024,Journal of imaging informatics in medicine,engineering_methods,keyword match on journal title; see 5_Code/venue_classification.py
S095,,10.1109/cisp-bmei64163.2024.10906217,2024,"2024 17th International Congress on Image and Signal Processing, BioMedical Engineering and Informatics (CISP-BMEI)",engineering_methods,keyword match on journal title; see 5_Code/venue_classification.py
S096,38760778.0,10.1186/s12880-024-01297-2,2024,BMC medical imaging,general_neuroscience,keyword match on journal title; see 5_Code/venue_classification.py
S097,38462289.0,10.1016/j.artmed.2024.102798,2024,Artificial intelligence in medicine,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S098,,10.1109/tbme.2023.3300090,2024,IEEE Transactions on Biomedical Engineering,engineering_methods,keyword match on journal title; see 5_Code/venue_classification.py
S099,39349147.0,10.1016/j.neuroimage.2024.120865,2024,NeuroImage,general_neuroscience,keyword match on journal title; see 5_Code/venue_classification.py
S100,38102776.0,10.1002/mrm.29969,2024,Magnetic resonance in medicine,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S101,38626138.0,10.1371/journal.pone.0301132,2024,PloS one,general_neuroscience,keyword match on journal title; see 5_Code/venue_classification.py
S102,38758490.0,10.1007/s10334-024-01161-y,2024,"Magma (New York, N.Y.)",clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S103,38376403.0,10.1148/radiol.231938,2024,Radiology,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S104,38282270.0,10.1002/mrm.30018,2024,Magnetic resonance in medicine,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S105,40035173.0,10.1002/mrm.30436,2025,Magnetic resonance in medicine,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S106,,10.1038/s41598-025-17993-0,2025,Scientific Reports,general_neuroscience,keyword match on journal title; see 5_Code/venue_classification.py
S107,41395855.0,10.1002/mp.70197,2025,Medical physics,engineering_methods,keyword match on journal title; see 5_Code/venue_classification.py
S108,39887515.0,10.1002/mrm.30439,2025,Magnetic resonance in medicine,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S109,39316286.0,10.1007/s11604-024-01666-5,2025,Japanese journal of radiology,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S110,40596927.0,10.1186/s12880-025-01763-5,2025,BMC medical imaging,general_neuroscience,keyword match on journal title; see 5_Code/venue_classification.py
S111,40493331.0,10.1007/s10334-025-01266-y,2025,"Magma (New York, N.Y.)",clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S112,39832954.0,10.3174/ajnr.a8662,2025,AJNR. American journal of neuroradiology,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S113,40257058.0,10.1177/03000605251330578,2025,The Journal of international medical research,unclassified,keyword match on journal title; see 5_Code/venue_classification.py
S114,,10.1109/isbi60581.2025.10981000,2025,2025 IEEE 22nd International Symposium on Biomedical Imaging (ISBI),engineering_methods,keyword match on journal title; see 5_Code/venue_classification.py
S115,40315626.0,10.1016/j.ejrad.2025.112123,2025,European journal of radiology,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S116,39080159.0,10.1007/s10278-024-01171-1,2025,Journal of imaging informatics in medicine,engineering_methods,keyword match on journal title; see 5_Code/venue_classification.py
S117,39566835.0,10.1016/j.mri.2024.110277,2025,Magnetic resonance imaging,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S118,40912664.0,10.1016/j.neuroimage.2025.121442,2025,NeuroImage,general_neuroscience,keyword match on journal title; see 5_Code/venue_classification.py
S119,40273728.0,10.1016/j.media.2025.103579,2025,Medical image analysis,engineering_methods,keyword match on journal title; see 5_Code/venue_classification.py
S120,39038956.0,10.3174/ajnr.a8424,2025,AJNR. American journal of neuroradiology,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S121,,10.1109/access.2025.3634749,2025,IEEE Access,engineering_methods,keyword match on journal title; see 5_Code/venue_classification.py
S122,39212832.0,10.1007/s10334-024-01200-8,2025,"Magma (New York, N.Y.)",clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S123,,10.1007/s10916-025-02300-1,2025,Journal of Medical Systems,unclassified,keyword match on journal title; see 5_Code/venue_classification.py
S124,40065646.0,10.1002/mrm.30482,2025,Magnetic resonance in medicine,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S125,39898398.0,10.3348/kjr.2024.0701,2025,Korean journal of radiology,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S126,39690114.0,10.1002/jmri.29672,2025,Journal of magnetic resonance imaging : JMRI,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S127,40545734.0,10.1002/nbm.70079,2025,NMR in biomedicine,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S128,40112563.0,10.1016/j.compbiomed.2025.110005,2025,Computers in biology and medicine,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S129,39834104.0,10.1002/mrm.30440,2025,Magnetic resonance in medicine,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S130,39947682.0,10.3174/ajnr.a8566,2025,AJNR. American journal of neuroradiology,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S131,39846325.0,10.1002/hbm.26806,2025,Human brain mapping,general_neuroscience,keyword match on journal title; see 5_Code/venue_classification.py
S132,40691452.0,10.1038/s41598-025-08552-8,2025,Scientific reports,general_neuroscience,keyword match on journal title; see 5_Code/venue_classification.py
S133,40309965.0,10.1002/hbm.70080,2025,Human brain mapping,general_neuroscience,keyword match on journal title; see 5_Code/venue_classification.py
S134,40679773.0,10.1007/s10334-025-01276-w,2025,"Magma (New York, N.Y.)",clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S135,,10.1007/978-3-031-72744-3_19,2025,Deep Generative Models,unclassified,keyword match on journal title; see 5_Code/venue_classification.py
S136,,10.1101/2025.04.30.651598,2025,bioRxiv,unclassified,keyword match on journal title; see 5_Code/venue_classification.py
S137,40064110.0,10.1088/1361-6560/adbed4,2025,Physics in medicine and biology,engineering_methods,keyword match on journal title; see 5_Code/venue_classification.py
S138,,10.1038/s41598-025-31958-3,2025,Scientific Reports,general_neuroscience,keyword match on journal title; see 5_Code/venue_classification.py
S139,39780631.0,10.3348/kjr.2024.0653,2025,Korean journal of radiology,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S140,40312865.0,10.1002/mrm.30537,2025,Magnetic resonance in medicine,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S141,39589491.0,10.1007/s00247-024-06088-z,2025,Pediatric radiology,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S142,40534142.0,10.1002/mrm.30604,2025,Magnetic resonance in medicine,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S143,40240759.0,10.1038/s41598-025-87224-z,2025,Scientific reports,general_neuroscience,keyword match on journal title; see 5_Code/venue_classification.py
S144,39316090.0,10.1007/s00234-024-03461-5,2025,Neuroradiology,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S145,41061726.0,10.1088/1361-6560/ae1110,2025,Physics in medicine and biology,engineering_methods,keyword match on journal title; see 5_Code/venue_classification.py
S146,40457510.0,10.1002/mrm.30591,2025,Magnetic resonance in medicine,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S147,39552568.0,10.1002/mrm.30365,2025,Magnetic resonance in medicine,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S148,39159019.0,10.1109/tmi.2024.3446450,2025,IEEE transactions on medical imaging,engineering_methods,keyword match on journal title; see 5_Code/venue_classification.py
S149,40173320.0,10.1002/mrm.30489,2025,Magnetic resonance in medicine,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S150,,10.1109/icip55913.2025.11084355,2025,2025 IEEE International Conference on Image Processing (ICIP),engineering_methods,keyword match on journal title; see 5_Code/venue_classification.py
S151,39250435.0,10.1002/mrm.30255,2025,Magnetic resonance in medicine,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S152,39366765.0,10.3174/ajnr.a8526,2025,AJNR. American journal of neuroradiology,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S153,39607873.0,10.1002/mrm.30384,2025,Magnetic resonance in medicine,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S154,39824686.0,10.1016/j.zemedi.2024.12.001,2025,Zeitschrift fur medizinische Physik,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S155,39938896.0,10.2463/mrms.mp.2024-0098,2025,Magnetic resonance in medical sciences : MRMS : an official journal of Japan Society of Magnetic Resonance in Medicine,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S156,39567364.0,10.1002/mrm.30380,2025,Magnetic resonance in medicine,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S157,41376618.0,10.1002/hbm.70429,2025,Human brain mapping,general_neuroscience,keyword match on journal title; see 5_Code/venue_classification.py
S158,,10.1038/s44172-025-00580-6,2026,Communications Engineering,general_neuroscience,keyword match on journal title; see 5_Code/venue_classification.py
S159,41873533.0,10.1002/mrm.70358,2026,Magnetic resonance in medicine,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S160,41204061.0,10.1002/mrm.70132,2026,Magnetic resonance in medicine,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S161,,10.1007/978-3-032-05997-0_1,2026,"Perinatal, Preterm and Paediatric Image Analysis",unclassified,keyword match on journal title; see 5_Code/venue_classification.py
S162,40432253.0,10.1002/mrm.30569,2026,Magnetic resonance in medicine,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S163,41039908.0,10.1002/mrm.70113,2026,Magnetic resonance in medicine,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S164,40955094.0,10.1002/mrm.70073,2026,Magnetic resonance in medicine,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S165,40961378.0,10.1002/mrm.70090,2026,Magnetic resonance in medicine,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S166,41958180.0,10.1002/nbm.70286,2026,NMR in biomedicine,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S167,41866419.0,10.1038/s41598-026-44834-5,2026,Scientific reports,general_neuroscience,keyword match on journal title; see 5_Code/venue_classification.py
S168,41925834.0,10.1007/s00330-026-12482-y,2026,European radiology,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S169,,10.3389/fnins.2026.1817732,2026,Frontiers in Neuroscience,general_neuroscience,keyword match on journal title; see 5_Code/venue_classification.py
S170,41489091.0,10.1002/jmri.70221,2026,Journal of magnetic resonance imaging : JMRI,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S171,42286078.0,10.1038/s41598-026-55397-w,2026,Scientific reports,general_neuroscience,keyword match on journal title; see 5_Code/venue_classification.py
S172,40931540.0,10.1002/mrm.70072,2026,Magnetic resonance in medicine,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S173,,10.3390/biomimetics11030175,2026,Biomimetics,unclassified,keyword match on journal title; see 5_Code/venue_classification.py
S174,,10.1109/tmi.2026.3654585,2026,IEEE Transactions on Medical Imaging,engineering_methods,keyword match on journal title; see 5_Code/venue_classification.py
S175,41274083.0,10.1016/j.media.2025.103872,2026,Medical image analysis,engineering_methods,keyword match on journal title; see 5_Code/venue_classification.py
S176,,10.1007/978-3-032-05472-2_19,2026,Deep Generative Models,unclassified,keyword match on journal title; see 5_Code/venue_classification.py
S177,,10.1007/978-3-032-04937-7_27,2026,Medical Image Computing and Computer Assisted Intervention – MICCAI 2025,engineering_methods,keyword match on journal title; see 5_Code/venue_classification.py
S178,,10.1109/isbi61048.2026.11515815,2026,2026 IEEE 23rd International Symposium on Biomedical Imaging (ISBI),engineering_methods,keyword match on journal title; see 5_Code/venue_classification.py
S179,,10.1109/tmi.2026.3705847,2026,IEEE Transactions on Medical Imaging,engineering_methods,keyword match on journal title; see 5_Code/venue_classification.py
S180,,10.1007/978-3-032-05472-2_15,2026,Deep Generative Models,unclassified,keyword match on journal title; see 5_Code/venue_classification.py
S181,41477795.0,10.1109/tmi.2025.3650412,2026,IEEE transactions on medical imaging,engineering_methods,keyword match on journal title; see 5_Code/venue_classification.py
S182,,10.1038/s43856-026-01614-6,2026,Communications Medicine,general_neuroscience,keyword match on journal title; see 5_Code/venue_classification.py
S183,41580445.0,10.1038/s41598-025-33162-9,2026,Scientific reports,general_neuroscience,keyword match on journal title; see 5_Code/venue_classification.py
S184,,10.1007/s00062-026-01627-7,2026,Clinical Neuroradiology,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S185,40891385.0,10.1002/mrm.70054,2026,Magnetic resonance in medicine,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S186,30884007.0,10.1002/jmri.26712,2019,Journal of magnetic resonance imaging : JMRI,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S187,,10.1109/access.2020.2968395,2020,IEEE Access,engineering_methods,keyword match on journal title; see 5_Code/venue_classification.py
S188,32542779.0,10.1002/jmri.27255,2020,Journal of magnetic resonance imaging : JMRI,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S189,,10.1109/ojsp.2021.3100751,2021,IEEE Open Journal of Signal Processing,engineering_methods,keyword match on journal title; see 5_Code/venue_classification.py
S190,33039617.0,10.1016/j.neuroimage.2020.117366,2021,NeuroImage,general_neuroscience,keyword match on journal title; see 5_Code/venue_classification.py
S191,35753594.0,10.1016/j.neuroimage.2022.119411,2022,NeuroImage,general_neuroscience,keyword match on journal title; see 5_Code/venue_classification.py
S192,34863809.0,10.1016/j.neurad.2021.11.007,2022,Journal of neuroradiology = Journal de neuroradiologie,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S193,37263108.0,10.1016/j.media.2023.102850,2023,Medical image analysis,engineering_methods,keyword match on journal title; see 5_Code/venue_classification.py
S194,,10.1109/tmi.2022.3217725,2023,IEEE Transactions on Medical Imaging,engineering_methods,keyword match on journal title; see 5_Code/venue_classification.py
S195,37976548.0,10.1088/1361-6560/ad0ddc,2023,Physics in medicine and biology,engineering_methods,keyword match on journal title; see 5_Code/venue_classification.py
S196,37010491.0,10.1002/mrm.29642,2023,Magnetic resonance in medicine,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
