study_key,pmid,doi,year,title,study_design,design_detail,appraisal_instrument,appraisal_basis,n_readers,n_subjects,reader_subset_verified,rob_patient_selection,rob_patient_selection_evidence,rob_patient_selection_rationale,rob_index_test,rob_index_test_evidence,rob_index_test_rationale,rob_reference_standard,rob_reference_standard_evidence,rob_reference_standard_rationale,rob_flow_timing,rob_flow_timing_evidence,rob_flow_timing_rationale,app_patient_selection,app_patient_selection_evidence,app_patient_selection_rationale,app_index_test,app_index_test_evidence,app_index_test_rationale,app_reference_standard,app_reference_standard_evidence,app_reference_standard_rationale,repro_code_available,repro_code_evidence,repro_public_dataset,repro_dataset_evidence,repro_benchmark,repro_reference_standard,repro_sampling,repro_centres,repro_sampling_evidence,repro_ethics_stated,rater_status,reviewer_1,reviewer_2,reviewer_3,consensus_note
S011,28945803,10.1371/journal.pone.0184661,2017,MRIQC: Advancing the automatic prediction of image quality in MRI from unseen sites,Algorithmic / methodological reconstruction study,,Reproducibility & robustness checklist,full text,,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,yes,"e instruments and calculation of the IQMs The MRIQC tool. MRIQC is an open-source project, developed under the following soft- ware engineering princip",yes,"749 T1w scans from the Alz- heimer’s Disease Neuroimaging Initiative (ADNI) dataset. By defining cutoff thresholds for the two IQMs, they assign",ADNI;UK Biobank,Not stated,prospective,multi-centre,"nNeuro.org portal. The classifier is trained on a publicly available, multi-site dataset (17 sites, N = 1102). We perform model selection evaluating d",not stated,"n/a - evidence-linked extraction, not a rated appraisal",,,,"Reproducibility and robustness items extracted with supporting evidence; QUADAS-2 does not apply to this design, so no risk-of-bias rating was made."
S012,29769079,10.1186/s12880-018-0256-6,2018,A consistency evaluation of signal-to-noise ratio in the quality assessment of human brain magnetic resonance images,Diagnostic accuracy / reader study,technical validation with reader assessment,QUADAS-2,full text,2,,yes,Unclear,"In total, 192, 88, 76 and 55 brain images are acquired using T2*, T1, T2 and contrast-enhanced T1 (T1C) weighted MR imaging sequences, respectively.","Image counts are given but the number of participants, the recruitment period and any consecutive or random sampling rule are not stated; healthy-brain and brain-tumour scans come from different sources.",Low,"To each imaging protocol, the consistency of SNR measurement is verified between and within two observers, and white matter (WM) and cerebral spinal fluid (CSF) are alternately used as the tissue region of interest (TOI) for SNR measurement.","The two observers (a non-physician and a radiologist) delineated regions separately and independently, and the reliability and correlation interpretation thresholds (ICC and Pearson bands) were pre-specified.",High,"Comparatively, no-reference MIQA algorithms are more useful and challenging, and no reference information can be borrowed [20, 23, 26].","There is no fully sampled reference image and no expert diagnostic reading; observer-measured SNR itself serves as the standard, which cannot establish correct classification of diagnostic quality.",Low,The procedure is repeated on another day within 30 days.,"Identical measurement procedure applied to all images by both observers at both time points, with all sequences reported in the results tables and no exclusions described.",Low,"in this study, 411 in vivo human brain MR images are collected and 2 observers are involved to localize the tissue regions of white matter (WM)","In vivo human brain MR images across four clinical sequences, including tumour patients, is an applicable population for a brain MRI image-quality question.",High,"four models (BIQI, BLIINDS-II, BRISQUE and NIQE) primarily used for the quality assessment of natural images are borrowed to predict the quality of MR images","No accelerated, compressed-sensing or deep-learning reconstruction is evaluated; the index measures are SNR and no-reference natural-image quality models.",High,"When SNR measurement performs as the quality indicator of MR images, BRISQUE and BLIINDS-II can be conditionally used for the automated quality estimation of human brain MR images.","SNR is used as the quality standard in place of a fully sampled acquisition or radiologist reading, so the study cannot speak to preservation of diagnostic content.",not stated,,not stated,,,Expert reader consensus,not stated,not stated,,yes,verified,Dat Tat Mai,Thai Viet Pham,Thu Nguyen Thi Dang,"Independently appraised by three reviewers (2026-08-06); independent ratings agreed on all domains, no adjudication required."
S013,29520831,10.1002/mrm.27166,2018,A convolutional neural network to filter artifacts in spectroscopic MRI,Algorithmic / methodological reconstruction study,,Reproducibility & robustness checklist,full text,,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,not stated,,not stated,,,Stated ground truth (unspecified),not stated,multi-centre,lects subjectivity of the human raters that define the ground truth. Multi-center and multi-expert analyses have previously been conducted for brain t,not stated,"n/a - evidence-linked extraction, not a rated appraisal",,,,"Reproducibility and robustness items extracted with supporting evidence; QUADAS-2 does not apply to this design, so no risk-of-bias rating was made."
S014,,10.1109/prni.2018.8423948,2018,Automatic detection of motion artifacts on MRI using Deep CNN,Algorithmic / methodological reconstruction study,,Reproducibility & robustness checklist,full text,,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,not stated,,not stated,,,Not stated,retrospective,multi-centre,", G. Schumann, and L. R. Schad, “Fully-automated quality assurance in multi-center studies using MRI phantom measurements,” Magnetic Resonance Imaging,",not stated,"n/a - evidence-linked extraction, not a rated appraisal",,,,"Reproducibility and robustness items extracted with supporting evidence; QUADAS-2 does not apply to this design, so no risk-of-bias rating was made."
S015,29898715,10.1186/s12938-018-0514-4,2018,Blind blur assessment of MRI images using parallel multiscale difference of Gaussian filters,Algorithmic / methodological reconstruction study,,Reproducibility & robustness checklist,full text,,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,yes,"evaluation [33–36]. The DOG filter was implemented using the matlab code available in [37, 38]. Human vis- ual system characteristics are incorporated i",yes,brain​care.fi/) and the Alzheimer’s disease neuroimaging initiative (ADNI) (http://www.adni.loni.usc.edu). The cardiac MRI volume data were sh,ADNI;adni,Expert reader consensus,not stated,not stated,,yes,"n/a - evidence-linked extraction, not a rated appraisal",,,,"Reproducibility and robustness items extracted with supporting evidence; QUADAS-2 does not apply to this design, so no risk-of-bias rating was made."
S016,29408461,10.1016/j.neuroimage.2018.01.078,2018,Impacts of simultaneous multislice acquisition on sensitivity and specificity in fMRI,Algorithmic / methodological reconstruction study,,Reproducibility & robustness checklist,full text,,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,not stated,,yes,"acceleration factor (AF = 8) used in the fMRI data in the young adult Human Connectome Project (HCP). We also evaluate split slice-GRAPPA (leak block), whic",HCP;Human Connectome;UK Biobank;human connectome,Not stated,both stated,not stated,used by the HCP are variants on the original slice-GRAPPA algorithm. Retrospective reconstruction using split slice-GRAPPA is not possible because the,not stated,"n/a - evidence-linked extraction, not a rated appraisal",,,,"Reproducibility and robustness items extracted with supporting evidence; QUADAS-2 does not apply to this design, so no risk-of-bias rating was made."
S017,30672166,10.3348/kjr.2017.0634,2019,Accelerated Time-of-Flight Magnetic Resonance Angiography with Sparse Undersampling and Iterative Reconstruction for the Evaluation of Intracranial Arteries,Diagnostic accuracy / reader study,reader study,QUADAS-2,full text,2,56,yes,Unclear,"A total number of 56 patients with dizziness (33 males and 23 females; mean age, 53.4 ± 18.6 years) were enrolled in this study between March 2017 and July 2017.","Prospective enrolment over a defined period at one centre, but the report does not state that patients were consecutive or randomly selected, nor give inclusion/exclusion criteria.",Low,by two neuroradiologists (with 5 and 26 years of experience) who were blinded to the acquisition parameters and patients’ information,"Readers were blinded to acquisition parameters (hence to acceleration factor) and used detailed, pre-specified five-point grading scales.",Low,"Afterward, sparse TOF images acquired with net acceleration factors of 3.5 and 5 were compared with conventional TOF images acquired using GRAPPA acceleration factors of 2 and 3, respectively.","The comparator is the conventional standard-of-care TOF protocol, scored by the same two readers under the same blinding, so the standard was applied independently of acceleration status.",Low,"The acquisition and image reconstruction were successful for all 56 patients. Among them, five were diagnosed as having vessel stenoses, while the others presented healthy intracranial vasculatures.",Both sequences were acquired in the same session in every patient and all 56 patients were included in the analysis with no dropouts.,High,"Second, the subjects in this study were mostly patients without lesions in vessels; thus, diagnostic accuracies were not compared in the current study.","Only 5 of 56 patients had vascular pathology, so the spectrum is too normal to demonstrate that acceleration preserves diagnostic content.",Low,"For the sparse TOF prototype sequence, each slab was acquired using a variable-density Poisson disk sampling pattern in the ky - kz phase-encoding plane (17-22) with acceleration factors of 3.5 and 5.",Sparse undersampling with inline iterative reconstruction at acceleration factors of 3.5 and 5 in brain MRA is precisely the index test of interest.,Low,"The image quality was scored using a five-point scale based on the delineation of arterial vessel segments, artifacts, overall vessel visualization, and overall image quality by two radiologists independently","Conventional TOF read independently by two neuroradiologists using diagnosis-anchored quality scales matches the review's reference standard, although the comparator is itself GRAPPA-accelerated.",not stated,,not stated,,,Expert reader consensus,prospective,not stated,,yes,verified,Dat Tat Mai,Thai Viet Pham,Thu Nguyen Thi Dang,"Independently appraised by three reviewers (2026-08-06); independent ratings agreed on all domains, no adjudication required."
S018,31247254,10.1016/j.mri.2019.05.038,2019,Applications of a deep learning method for anti-aliasing and super-resolution in MRI,Algorithmic / methodological reconstruction study,,Reproducibility & robustness checklist,full text,,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,not stated,,yes,15 healthy controls from the Open Access Series on Imaging Studies (OASIS) dataset involved in this experiment. All the MRIs were interpolated,OASIS,Expert reader consensus,not stated,not stated,,not stated,"n/a - evidence-linked extraction, not a rated appraisal",,,,"Reproducibility and robustness items extracted with supporting evidence; QUADAS-2 does not apply to this design, so no risk-of-bias rating was made."
S019,30811739,10.1002/jmri.26693,2019,Automated image quality evaluation of structural brain MRI using an ensemble of deep learning networks,Algorithmic / methodological reconstruction study,,Reproducibility & robustness checklist,full text,,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,not stated,,yes,ed high sensitivity (0.91) and specificity (0.84) in the multi-center UK BioBank study using the QAP pipeline(26) . They developed a set of 190 IQMs,UK BioBank;UK Biobank,Expert reader consensus,retrospective,multi-centre,ties in brain MRI. PURPOSE: To automatically evaluate the quality of multicenter structural brain MRI images using an ensemble DL model based on deep,yes,"n/a - evidence-linked extraction, not a rated appraisal",,,,"Reproducibility and robustness items extracted with supporting evidence; QUADAS-2 does not apply to this design, so no risk-of-bias rating was made."
S020,30523142,10.3174/ajnr.a5905,2019,Compressed Sensing-Sensitivity Encoding (CS-SENSE) Accelerated Brain Imaging: Reduced Scan Time without Reduced Image Quality,Diagnostic accuracy / reader study,reader study,QUADAS-2,abstract + MeSH only,2,66,yes,Unclear,"Patients with known, treated, or suspected brain tumors underwent compressed sensing-sensitivity encoding accelerated 3D T1-echo-spoiled gradient echo or 3D T2-FLAIR sequences in addition to the corresponding conventional acquisition as part of their clinical brain MR imaging.","Abstract-only record states the clinical population but gives no enrolment rule (consecutive, random or convenience) and no inclusion/exclusion criteria.",Low,Two neuroradiologists blinded to sequence and patient information independently evaluated both the accelerated and corresponding conventional acquisitions.,Readers were explicitly blinded to which sequence was accelerated and read the two acquisitions independently.,Low,"The sequences were evaluated on 4- or 5-point Likert scales for overall image quality, SNR, extent/severity of artifacts, and gray-white junction and lesion boundary sharpness.",The conventional clinical acquisition served as the reference and was scored on pre-specified Likert scales by the same readers who were blinded to sequence type.,Low,in addition to the corresponding conventional acquisition as part of their clinical brain MR imaging,"Accelerated and conventional acquisitions were obtained in the same clinical examination, so the interval is effectively zero and every patient contributed a paired comparison.",Low,"Patients with known, treated, or suspected brain tumors underwent compressed sensing-sensitivity encoding accelerated 3D T1-echo-spoiled gradient echo or 3D T2-FLAIR sequences","Real clinical brain MRI patients with pathology, matching the population of interest for whether acceleration preserves diagnostic content.",Low,Compressed sensing-sensitivity encoding accelerated 3D T1-echo-spoiled gradient echo and T2-FLAIR sequences of the brain show image quality similar to that of standard acquisitions with reduced scan time.,"The index test is a prospectively acquired accelerated reconstruction of routine brain sequences, directly matching the review question.",Low,This study compares the image quality of compressed sensing-sensitivity encoding accelerated imaging with conventional MR imaging sequences.,The conventional standard-of-care acquisition plus expert neuroradiologist reading is the intended reference standard for this review.,not stated,,not stated,,,Expert reader consensus,not stated,not stated,,not stated,verified,Dat Tat Mai,Thai Viet Pham,Thu Nguyen Thi Dang,"Independently appraised by three reviewers (2026-08-06); independent ratings agreed on all domains, no adjudication required."
S021,30671618,10.1007/s00234-019-02160-w,2019,Evaluation of 3D fat-navigator based retrospective motion correction in the clinical setting of patients with brain tumors,Algorithmic / methodological reconstruction study,,Reproducibility & robustness checklist,full text,,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,not stated,,not stated,,,Expert reader consensus,both stated,not stated,Evaluation of 3D fat-navigator based retrospective motion correction in the clinical setting of patients with brain tum,yes,"n/a - evidence-linked extraction, not a rated appraisal",,,,"Reproducibility and robustness items extracted with supporting evidence; QUADAS-2 does not apply to this design, so no risk-of-bias rating was made."
S022,30630834,10.3174/ajnr.a5927,2019,Improving the Quality of Synthetic FLAIR Images with Deep Learning Using a Conditional Generative Adversarial Network for Pixel-by-Pixel Image Translation,Algorithmic / methodological reconstruction study,,Reproducibility & robustness checklist,full text,,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,not stated,,not stated,,,Expert reader consensus,prospective,multi-centre,"ults of the Magnetic Resonance Image Compilation (MAGiC) prospective, multicenter, multireader trial. AJNR Am J Neuroradiol 2017;38:1103–10 CrossRef Me",yes,"n/a - evidence-linked extraction, not a rated appraisal",,,,"Reproducibility and robustness items extracted with supporting evidence; QUADAS-2 does not apply to this design, so no risk-of-bias rating was made."
S023,31045278,10.1002/mrm.27771,2019,Network Accelerated Motion Estimation and Reduction (NAMER): Convolutional neural network guided retrospective motion correction using a separable motion model,Algorithmic / methodological reconstruction study,,Reproducibility & robustness checklist,abstract + MeSH only,,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,not stated,,not stated,,,Not stated,retrospective,not stated,Estimation and Reduction (NAMER): Convolutional neural network guided retrospective motion correction using a separable motion model. PURPOSE: We introd,not stated,"n/a - evidence-linked extraction, not a rated appraisal",,,,"Reproducibility and robustness items extracted with supporting evidence; QUADAS-2 does not apply to this design, so no risk-of-bias rating was made."
S024,30773331,10.1016/j.zemedi.2019.01.001,2019,SHARQnet - Sophisticated harmonic artifact reduction in quantitative susceptibility mapping using a deep convolutional neural network,Algorithmic / methodological reconstruction study,,Reproducibility & robustness checklist,full text,,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,yes,"Xiv Prepr ArXiv160304467 2016. [36] Francois C. Keras 2015. https://github.com/fchollet/keras. [37] Jones E, Oliphant T, Peterson P. SciPy: Open source scientific",yes,econstruction challenge was used. We chose this publicly available dataset because it resembles a typical clinical dataset and,,Stated ground truth (unspecified),not stated,not stated,,yes,"n/a - evidence-linked extraction, not a rated appraisal",,,,"Reproducibility and robustness items extracted with supporting evidence; QUADAS-2 does not apply to this design, so no risk-of-bias rating was made."
S025,31946482,10.1109/embc.2019.8857125,2019,Super-Resolution Diffusion Tensor Imaging using SRCNN: A Feasibility Study,Algorithmic / methodological reconstruction study,,Reproducibility & robustness checklist,full text,,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,yes,lts. D. Deep Learning We used an SRCNN [10] based deep-learning model open source code dubbed waifu2x [9] that has been already trained and originally,not stated,,,Stated ground truth (unspecified),not stated,not stated,,yes,"n/a - evidence-linked extraction, not a rated appraisal",,,,"Reproducibility and robustness items extracted with supporting evidence; QUADAS-2 does not apply to this design, so no risk-of-bias rating was made."
