file,pmid,doi,decision,confidence,reason_label,primary_reason,picos_population,picos_intervention,picos_comparator,picos_outcome,picos_study_design,evidence_spans
1985 - Triangular Spect System for 3-D Total Organ Volume Imaging Design Concept and Preliminary Imaging Results - IEEEXPLORE 4336934.md,,10.1109/tns.1985.4336934,exclude,0.95,wrong_intervention_or_index,Classical (non-AI/ML) MR/CT/SPECT/PET imaging or reconstruction methodology; not AI/ML-based reconstruction and not an automated (LLM/causal/counterfactual) safety-evaluation of reconstruction fidelity.,"Conventional MR/nuclear imaging methodology, not AI/ML-based brain MRI reconstruction.","Classical reconstruction/artifact/pulse-sequence technique; no M-LLM, LLM-as-judge, causal discovery, or counterfactual diffusion evaluation.",No AI reconstruction-safety evaluation or comparator relevant to the review.,"Reports conventional image-quality/artifact behaviour, not detection/quantification of AI-reconstruction safety failures (e.g., hallucinated pathology).",Technical imaging paper predating deep-learning reconstruction.,Triangular Spect System for 3-D Total Organ Volume Imaging: Design Concept and Preliminary Imaging Results
1986 - Automatic reregistration for correction of localized misregistration artifacts in digital subtraction angiography of the - PMID 2980474.md,2980474,,exclude,0.95,wrong_intervention_or_index,Classical (non-AI/ML) MR/CT/SPECT/PET imaging or reconstruction methodology; not AI/ML-based reconstruction and not an automated (LLM/causal/counterfactual) safety-evaluation of reconstruction fidelity.,"Conventional MR/nuclear imaging methodology, not AI/ML-based brain MRI reconstruction.","Classical reconstruction/artifact/pulse-sequence technique; no M-LLM, LLM-as-judge, causal discovery, or counterfactual diffusion evaluation.",No AI reconstruction-safety evaluation or comparator relevant to the review.,"Reports conventional image-quality/artifact behaviour, not detection/quantification of AI-reconstruction safety failures (e.g., hallucinated pathology).",Technical imaging paper predating deep-learning reconstruction.,Automatic reregistration for correction of localized misregistration artifacts in digital subtraction angiography of the head and neck.
1987 - Basic Technological Aspects and Optimization Problems in X-Ray Computed Tomography (C.T.) - SPRINGER 10.1007_978-94-009-3537-2_13.md,,10.1007/978-94-009-3537-2_13,exclude,0.94,out_of_scope,"General diagnostic-imaging, morphometry/segmentation/registration, or non-reconstruction study; no AI/ML reconstruction-safety contribution.",Brain-imaging-related but not AI/ML reconstruction of brain MRI.,No AI/ML reconstruction or automated (LLM/causal/counterfactual) safety-evaluation method.,No relevant reconstruction-safety comparator.,"Diagnostic-accuracy or measurement outcomes, not reconstruction-safety failure detection.",Out of scope for reconstruction-safety-evaluation methodology.,Basic Technological Aspects and Optimization Problems in X-Ray Computed Tomography (C.T.)
1988 - Artifacts and diagnostic pitfalls on magnetic resonance imaging a clinical review. - PMID 3380943.md,3380943,,background_only,0.88,review_for_background,"Review/editorial/reference on brain MRI imaging or artifacts; useful for background, not a primary-includable methodological study.",Brain/neuro MRI imaging context.,No original AI/ML reconstruction or automated safety-evaluation method; narrative/reference content.,n/a.,"Background on MR imaging/artifacts, not AI-reconstruction safety evaluation.",Review/editorial/reference (retained for background).,Artifacts and diagnostic pitfalls on magnetic resonance imaging: a clinical review.
1988 - Motion artifacts in brain and spine MR. - PMID 3289073.md,3289073,,background_only,0.88,review_for_background,"Review/editorial/reference on brain MRI imaging or artifacts; useful for background, not a primary-includable methodological study.",Brain/neuro MRI imaging context.,No original AI/ML reconstruction or automated safety-evaluation method; narrative/reference content.,n/a.,"Background on MR imaging/artifacts, not AI-reconstruction safety evaluation.",Review/editorial/reference (retained for background).,Motion artifacts in brain and spine MR.
"1988 - The development of ASPECT, an annular single crystal brain camera for high efficiency SPECT - IEEEXPLORE 12806.md",,10.1109/23.12806,exclude,0.95,wrong_intervention_or_index,Classical (non-AI/ML) MR/CT/SPECT/PET imaging or reconstruction methodology; not AI/ML-based reconstruction and not an automated (LLM/causal/counterfactual) safety-evaluation of reconstruction fidelity.,"Conventional MR/nuclear imaging methodology, not AI/ML-based brain MRI reconstruction.","Classical reconstruction/artifact/pulse-sequence technique; no M-LLM, LLM-as-judge, causal discovery, or counterfactual diffusion evaluation.",No AI reconstruction-safety evaluation or comparator relevant to the review.,"Reports conventional image-quality/artifact behaviour, not detection/quantification of AI-reconstruction safety failures (e.g., hallucinated pathology).",Technical imaging paper predating deep-learning reconstruction.,"The development of ASPECT, an annular single crystal brain camera for high efficiency SPECT"
1989 - Adrenal masses evaluation with fast gradient-echo MR imaging and Gd-DTPA-enhanced dynamic studies. - PMID 2717737.md,2717737,10.1148/radiology.171.3.2717737,exclude,0.95,wrong_population,Non-brain (or animal) imaging/clinical study with no AI/ML brain-MRI-reconstruction relevance.,"Target is a non-brain organ or animal model, outside the AI/ML brain MRI reconstruction scope.",No AI/ML reconstruction or automated safety-evaluation methodology.,No relevant reconstruction-safety comparator.,"Clinical/diagnostic or measurement outcomes, not reconstruction-safety failure detection.",Clinical/technical study outside the review population.,Adrenal masses: evaluation with fast gradient-echo MR imaging and Gd-DTPA-enhanced dynamic studies.
1989 - Preliminary evaluation of diagnostic usefulness of digital subtraction angiography (DSA) in the diagnosis of brain disea - PMID 2615883.md,2615883,,exclude,0.9,non_english,Non-English original (foreign-language journal); also predates the AI/ML reconstruction-safety scope.,Non-English article; population/topic not AI/ML brain MRI reconstruction.,No AI/ML reconstruction or automated safety-evaluation methodology.,No relevant comparator.,Not a reconstruction-safety-evaluation outcome.,Foreign-language article (bracketed PubMed title).,[Preliminary evaluation of diagnostic usefulness of digital subtraction angiography (DSA) in the diagnosis of brain diseases].
1989 - Reduction of T2 dephasing in gradient field-echo imaging. - PMID 2911669.md,2911669,10.1148/radiology.170.2.2911669,exclude,0.95,wrong_intervention_or_index,Classical (non-AI/ML) MR/CT/SPECT/PET imaging or reconstruction methodology; not AI/ML-based reconstruction and not an automated (LLM/causal/counterfactual) safety-evaluation of reconstruction fidelity.,"Conventional MR/nuclear imaging methodology, not AI/ML-based brain MRI reconstruction.","Classical reconstruction/artifact/pulse-sequence technique; no M-LLM, LLM-as-judge, causal discovery, or counterfactual diffusion evaluation.",No AI reconstruction-safety evaluation or comparator relevant to the review.,"Reports conventional image-quality/artifact behaviour, not detection/quantification of AI-reconstruction safety failures (e.g., hallucinated pathology).",Technical imaging paper predating deep-learning reconstruction.,Reduction of T2* dephasing in gradient field-echo imaging.
1989 - Stereotactic neurosurgery planning on a personal-computer-based work station. - PMID 2488160.md,2488160,10.1007/bf03168023,exclude,0.94,out_of_scope,"General diagnostic-imaging, morphometry/segmentation/registration, or non-reconstruction study; no AI/ML reconstruction-safety contribution.",Brain-imaging-related but not AI/ML reconstruction of brain MRI.,No AI/ML reconstruction or automated (LLM/causal/counterfactual) safety-evaluation method.,No relevant reconstruction-safety comparator.,"Diagnostic-accuracy or measurement outcomes, not reconstruction-safety failure detection.",Out of scope for reconstruction-safety-evaluation methodology.,Stereotactic neurosurgery planning on a personal-computer-based work station.
1989 - Tissue distortion in three-dimensional reconstruction of wax or plastic embedded microscopic structures. - PMID 2696942.md,2696942,10.1016/s0344-0338(89)80201-8,exclude,0.94,out_of_scope,"General diagnostic-imaging, morphometry/segmentation/registration, or non-reconstruction study; no AI/ML reconstruction-safety contribution.",Brain-imaging-related but not AI/ML reconstruction of brain MRI.,No AI/ML reconstruction or automated (LLM/causal/counterfactual) safety-evaluation method.,No relevant reconstruction-safety comparator.,"Diagnostic-accuracy or measurement outcomes, not reconstruction-safety failure detection.",Out of scope for reconstruction-safety-evaluation methodology.,Tissue distortion in three-dimensional reconstruction of wax or plastic embedded microscopic structures.
1990 - A semiautomated method for measuring brain infarct volume. - PMID 1689322.md,1689322,10.1038/jcbfm.1990.47,exclude,0.94,out_of_scope,"General diagnostic-imaging, morphometry/segmentation/registration, or non-reconstruction study; no AI/ML reconstruction-safety contribution.",Brain-imaging-related but not AI/ML reconstruction of brain MRI.,No AI/ML reconstruction or automated (LLM/causal/counterfactual) safety-evaluation method.,No relevant reconstruction-safety comparator.,"Diagnostic-accuracy or measurement outcomes, not reconstruction-safety failure detection.",Out of scope for reconstruction-safety-evaluation methodology.,A semiautomated method for measuring brain infarct volume.
1990 - Brain morphology in developmental dyslexia and attention deficit disorder hyperactivity. - PMID 2375699.md,2375699,10.1001/archneur.1990.00530080107018,exclude,0.94,out_of_scope,"General diagnostic-imaging, morphometry/segmentation/registration, or non-reconstruction study; no AI/ML reconstruction-safety contribution.",Brain-imaging-related but not AI/ML reconstruction of brain MRI.,No AI/ML reconstruction or automated (LLM/causal/counterfactual) safety-evaluation method.,No relevant reconstruction-safety comparator.,"Diagnostic-accuracy or measurement outcomes, not reconstruction-safety failure detection.",Out of scope for reconstruction-safety-evaluation methodology.,Brain morphology in developmental dyslexia and attention deficit disorder/hyperactivity.
"1990 - Detection of hepatic metastases comparison of contrast-enhanced CT, unenhanced MR imaging, and iron oxide-enhanced MR im - PMID 2119106.md",2119106,10.2214/ajr.155.4.2119106,exclude,0.95,wrong_population,Non-brain (or animal) imaging/clinical study with no AI/ML brain-MRI-reconstruction relevance.,"Target is a non-brain organ or animal model, outside the AI/ML brain MRI reconstruction scope.",No AI/ML reconstruction or automated safety-evaluation methodology.,No relevant reconstruction-safety comparator.,"Clinical/diagnostic or measurement outcomes, not reconstruction-safety failure detection.",Clinical/technical study outside the review population.,"Detection of hepatic metastases: comparison of contrast-enhanced CT, unenhanced MR imaging, and iron oxide-enhanced MR imaging."
1990 - Methods for measuring brain morphologic features on magnetic resonance images. Validation and normal aging. - PMID 2294890.md,2294890,10.1001/archneur.1990.00530010035015,exclude,0.94,out_of_scope,"General diagnostic-imaging, morphometry/segmentation/registration, or non-reconstruction study; no AI/ML reconstruction-safety contribution.",Brain-imaging-related but not AI/ML reconstruction of brain MRI.,No AI/ML reconstruction or automated (LLM/causal/counterfactual) safety-evaluation method.,No relevant reconstruction-safety comparator.,"Diagnostic-accuracy or measurement outcomes, not reconstruction-safety failure detection.",Out of scope for reconstruction-safety-evaluation methodology.,Methods for measuring brain morphologic features on magnetic resonance images. Validation and normal aging.
1991 - A new interpolation technique for orthogonal sets of tomographic medical images - IEEEXPLORE 161104.md,,10.1109/icsyse.1991.161104,exclude,0.95,wrong_intervention_or_index,Classical (non-AI/ML) MR/CT/SPECT/PET imaging or reconstruction methodology; not AI/ML-based reconstruction and not an automated (LLM/causal/counterfactual) safety-evaluation of reconstruction fidelity.,"Conventional MR/nuclear imaging methodology, not AI/ML-based brain MRI reconstruction.","Classical reconstruction/artifact/pulse-sequence technique; no M-LLM, LLM-as-judge, causal discovery, or counterfactual diffusion evaluation.",No AI reconstruction-safety evaluation or comparator relevant to the review.,"Reports conventional image-quality/artifact behaviour, not detection/quantification of AI-reconstruction safety failures (e.g., hallucinated pathology).",Technical imaging paper predating deep-learning reconstruction.,A new interpolation technique for orthogonal sets of tomographic medical images
"1991 - Analysis of brain and cerebrospinal fluid volumes with MR imaging. Part I. Methods, reliability, and validation. - PMID 1984289.md",1984289,10.1148/radiology.178.1.1984289,exclude,0.94,out_of_scope,"General diagnostic-imaging, morphometry/segmentation/registration, or non-reconstruction study; no AI/ML reconstruction-safety contribution.",Brain-imaging-related but not AI/ML reconstruction of brain MRI.,No AI/ML reconstruction or automated (LLM/causal/counterfactual) safety-evaluation method.,No relevant reconstruction-safety comparator.,"Diagnostic-accuracy or measurement outcomes, not reconstruction-safety failure detection.",Out of scope for reconstruction-safety-evaluation methodology.,"Analysis of brain and cerebrospinal fluid volumes with MR imaging. Part I. Methods, reliability, and validation."
1991 - Automated identification of left ventricular borders from spin-echo magnetic resonance images. Experimental and clinical - PMID 2032816.md,2032816,10.1097/00004424-199104000-00002,exclude,0.95,wrong_population,Non-brain (or animal) imaging/clinical study with no AI/ML brain-MRI-reconstruction relevance.,"Target is a non-brain organ or animal model, outside the AI/ML brain MRI reconstruction scope.",No AI/ML reconstruction or automated safety-evaluation methodology.,No relevant reconstruction-safety comparator.,"Clinical/diagnostic or measurement outcomes, not reconstruction-safety failure detection.",Clinical/technical study outside the review population.,Automated identification of left ventricular borders from spin-echo magnetic resonance images. Experimental and clinical feasibility studies.
1991 - Automated localization and identification of lower spinal anatomy in magnetic resonance images. - PMID 2036784.md,2036784,10.1016/0010-4809(91)90023-p,exclude,0.95,wrong_population,Non-brain (or animal) imaging/clinical study with no AI/ML brain-MRI-reconstruction relevance.,"Target is a non-brain organ or animal model, outside the AI/ML brain MRI reconstruction scope.",No AI/ML reconstruction or automated safety-evaluation methodology.,No relevant reconstruction-safety comparator.,"Clinical/diagnostic or measurement outcomes, not reconstruction-safety failure detection.",Clinical/technical study outside the review population.,Automated localization and identification of lower spinal anatomy in magnetic resonance images.
1991 - Bayesian image processing in magnetic resonance imaging. - PMID 1779733.md,1779733,10.1016/0730-725x(91)90049-r,exclude,0.95,wrong_intervention_or_index,Classical (non-AI/ML) MR/CT/SPECT/PET imaging or reconstruction methodology; not AI/ML-based reconstruction and not an automated (LLM/causal/counterfactual) safety-evaluation of reconstruction fidelity.,"Conventional MR/nuclear imaging methodology, not AI/ML-based brain MRI reconstruction.","Classical reconstruction/artifact/pulse-sequence technique; no M-LLM, LLM-as-judge, causal discovery, or counterfactual diffusion evaluation.",No AI reconstruction-safety evaluation or comparator relevant to the review.,"Reports conventional image-quality/artifact behaviour, not detection/quantification of AI-reconstruction safety failures (e.g., hallucinated pathology).",Technical imaging paper predating deep-learning reconstruction.,Bayesian image processing in magnetic resonance imaging.
1991 - Brain surface cortical sulcal lengths quantification with three-dimensional MR imaging. - PMID 2068316.md,2068316,10.1148/radiology.180.2.2068316,exclude,0.94,out_of_scope,"General diagnostic-imaging, morphometry/segmentation/registration, or non-reconstruction study; no AI/ML reconstruction-safety contribution.",Brain-imaging-related but not AI/ML reconstruction of brain MRI.,No AI/ML reconstruction or automated (LLM/causal/counterfactual) safety-evaluation method.,No relevant reconstruction-safety comparator.,"Diagnostic-accuracy or measurement outcomes, not reconstruction-safety failure detection.",Out of scope for reconstruction-safety-evaluation methodology.,Brain surface cortical sulcal lengths: quantification with three-dimensional MR imaging.
1991 - Breast lesion discrimination using statistical analysis and shape measures on magnetic resonance imagery. - PMID 1661638.md,1661638,10.1016/0895-6111(91)90142-i,exclude,0.95,wrong_population,Non-brain (or animal) imaging/clinical study with no AI/ML brain-MRI-reconstruction relevance.,"Target is a non-brain organ or animal model, outside the AI/ML brain MRI reconstruction scope.",No AI/ML reconstruction or automated safety-evaluation methodology.,No relevant reconstruction-safety comparator.,"Clinical/diagnostic or measurement outcomes, not reconstruction-safety failure detection.",Clinical/technical study outside the review population.,Breast lesion discrimination using statistical analysis and shape measures on magnetic resonance imagery.
1991 - Color flow-encoded MR imaging. - PMID 1824565.md,1824565,10.1002/jmri.1880010618,exclude,0.95,wrong_intervention_or_index,Classical (non-AI/ML) MR/CT/SPECT/PET imaging or reconstruction methodology; not AI/ML-based reconstruction and not an automated (LLM/causal/counterfactual) safety-evaluation of reconstruction fidelity.,"Conventional MR/nuclear imaging methodology, not AI/ML-based brain MRI reconstruction.","Classical reconstruction/artifact/pulse-sequence technique; no M-LLM, LLM-as-judge, causal discovery, or counterfactual diffusion evaluation.",No AI reconstruction-safety evaluation or comparator relevant to the review.,"Reports conventional image-quality/artifact behaviour, not detection/quantification of AI-reconstruction safety failures (e.g., hallucinated pathology).",Technical imaging paper predating deep-learning reconstruction.,Color flow-encoded MR imaging.
1991 - Comparison of phase-difference and complex-difference processing in phase-contrast MR angiography. - PMID 1823179.md,1823179,10.1002/jmri.1880010620,exclude,0.95,wrong_intervention_or_index,Classical (non-AI/ML) MR/CT/SPECT/PET imaging or reconstruction methodology; not AI/ML-based reconstruction and not an automated (LLM/causal/counterfactual) safety-evaluation of reconstruction fidelity.,"Conventional MR/nuclear imaging methodology, not AI/ML-based brain MRI reconstruction.","Classical reconstruction/artifact/pulse-sequence technique; no M-LLM, LLM-as-judge, causal discovery, or counterfactual diffusion evaluation.",No AI reconstruction-safety evaluation or comparator relevant to the review.,"Reports conventional image-quality/artifact behaviour, not detection/quantification of AI-reconstruction safety failures (e.g., hallucinated pathology).",Technical imaging paper predating deep-learning reconstruction.,Comparison of phase-difference and complex-difference processing in phase-contrast MR angiography.
"1991 - Contrast, resolution, and detectability in MR imaging. - PMID 2002111.md",2002111,10.1097/00004728-199103000-00021,exclude,0.95,wrong_intervention_or_index,Classical (non-AI/ML) MR/CT/SPECT/PET imaging or reconstruction methodology; not AI/ML-based reconstruction and not an automated (LLM/causal/counterfactual) safety-evaluation of reconstruction fidelity.,"Conventional MR/nuclear imaging methodology, not AI/ML-based brain MRI reconstruction.","Classical reconstruction/artifact/pulse-sequence technique; no M-LLM, LLM-as-judge, causal discovery, or counterfactual diffusion evaluation.",No AI reconstruction-safety evaluation or comparator relevant to the review.,"Reports conventional image-quality/artifact behaviour, not detection/quantification of AI-reconstruction safety failures (e.g., hallucinated pathology).",Technical imaging paper predating deep-learning reconstruction.,"Contrast, resolution, and detectability in MR imaging."
1991 - Degenerative narrowing of the cervical spine neural foramina evaluation with high-resolution 3DFT gradient-echo MR imagi - PMID 1902018.md,1902018,,exclude,0.95,wrong_population,Non-brain (or animal) imaging/clinical study with no AI/ML brain-MRI-reconstruction relevance.,"Target is a non-brain organ or animal model, outside the AI/ML brain MRI reconstruction scope.",No AI/ML reconstruction or automated safety-evaluation methodology.,No relevant reconstruction-safety comparator.,"Clinical/diagnostic or measurement outcomes, not reconstruction-safety failure detection.",Clinical/technical study outside the review population.,Degenerative narrowing of the cervical spine neural foramina: evaluation with high-resolution 3DFT gradient-echo MR imaging.
1991 - Does inter-subject variability in cortical functional organization increase with neural 'distance' from the periphery - PMID 1667751.md,1667751,10.1002/9780470514184.ch8,exclude,0.94,out_of_scope,"General diagnostic-imaging, morphometry/segmentation/registration, or non-reconstruction study; no AI/ML reconstruction-safety contribution.",Brain-imaging-related but not AI/ML reconstruction of brain MRI.,No AI/ML reconstruction or automated (LLM/causal/counterfactual) safety-evaluation method.,No relevant reconstruction-safety comparator.,"Diagnostic-accuracy or measurement outcomes, not reconstruction-safety failure detection.",Out of scope for reconstruction-safety-evaluation methodology.,Does inter-subject variability in cortical functional organization increase with neural 'distance' from the periphery?
1991 - Effects of visual stimulation on the redistribution of iodine-123-IMP in the brain using SPECT imaging. - PMID 1919724.md,1919724,,exclude,0.94,out_of_scope,"General diagnostic-imaging, morphometry/segmentation/registration, or non-reconstruction study; no AI/ML reconstruction-safety contribution.",Brain-imaging-related but not AI/ML reconstruction of brain MRI.,No AI/ML reconstruction or automated (LLM/causal/counterfactual) safety-evaluation method.,No relevant reconstruction-safety comparator.,"Diagnostic-accuracy or measurement outcomes, not reconstruction-safety failure detection.",Out of scope for reconstruction-safety-evaluation methodology.,Effects of visual stimulation on the redistribution of iodine-123-IMP in the brain using SPECT imaging.
1991 - FID-acquired-echos (FAcE) a short echo time imaging method for flow artefact suppression. - PMID 1779722.md,1779722,10.1016/0730-725x(91)90038-n,exclude,0.95,wrong_intervention_or_index,Classical (non-AI/ML) MR/CT/SPECT/PET imaging or reconstruction methodology; not AI/ML-based reconstruction and not an automated (LLM/causal/counterfactual) safety-evaluation of reconstruction fidelity.,"Conventional MR/nuclear imaging methodology, not AI/ML-based brain MRI reconstruction.","Classical reconstruction/artifact/pulse-sequence technique; no M-LLM, LLM-as-judge, causal discovery, or counterfactual diffusion evaluation.",No AI reconstruction-safety evaluation or comparator relevant to the review.,"Reports conventional image-quality/artifact behaviour, not detection/quantification of AI-reconstruction safety failures (e.g., hallucinated pathology).",Technical imaging paper predating deep-learning reconstruction.,FID-acquired-echos (FAcE): a short echo time imaging method for flow artefact suppression.
1991 - Filtering noise from images with wavelet transforms. - PMID 1745127.md,1745127,10.1002/mrm.1910210213,exclude,0.95,wrong_intervention_or_index,Classical (non-AI/ML) MR/CT/SPECT/PET imaging or reconstruction methodology; not AI/ML-based reconstruction and not an automated (LLM/causal/counterfactual) safety-evaluation of reconstruction fidelity.,"Conventional MR/nuclear imaging methodology, not AI/ML-based brain MRI reconstruction.","Classical reconstruction/artifact/pulse-sequence technique; no M-LLM, LLM-as-judge, causal discovery, or counterfactual diffusion evaluation.",No AI reconstruction-safety evaluation or comparator relevant to the review.,"Reports conventional image-quality/artifact behaviour, not detection/quantification of AI-reconstruction safety failures (e.g., hallucinated pathology).",Technical imaging paper predating deep-learning reconstruction.,Filtering noise from images with wavelet transforms.
1991 - Halfscan clinical applications in MR imaging. - PMID 1779717.md,1779717,10.1016/0730-725x(91)90032-h,exclude,0.95,wrong_intervention_or_index,Classical (non-AI/ML) MR/CT/SPECT/PET imaging or reconstruction methodology; not AI/ML-based reconstruction and not an automated (LLM/causal/counterfactual) safety-evaluation of reconstruction fidelity.,"Conventional MR/nuclear imaging methodology, not AI/ML-based brain MRI reconstruction.","Classical reconstruction/artifact/pulse-sequence technique; no M-LLM, LLM-as-judge, causal discovery, or counterfactual diffusion evaluation.",No AI reconstruction-safety evaluation or comparator relevant to the review.,"Reports conventional image-quality/artifact behaviour, not detection/quantification of AI-reconstruction safety failures (e.g., hallucinated pathology).",Technical imaging paper predating deep-learning reconstruction.,Halfscan: clinical applications in MR imaging.
