row_id,year,title,journal,pmid,doi,sonnet5_decision,opus5_decision,fable5_decision,ai_consensus,recorded_decision,consensus_vs_recorded,unanimous_ai,sonnet5_reason,opus5_reason,fable5_reason
K019,2022,Improvement of peripheral nerve visualization using a deep learning-based MR reconstruction algorithm,,,10.1016/j.mri.2021.10.038,exclude,exclude,exclude,exclude,exclude,AGREE,yes,wrong_population,wrong_population,wrong_population
K020,2018,Rotating single-shot acquisition (RoSA) with composite reconstruction for fast high-resolution diffusion imaging.,Magnetic resonance in medicine,28321904,10.1002/mrm.26671,include,include,include,include,exclude,DISAGREE,yes,,,
K021,2022,High-throughput volumetric adaptive optical imaging using compressed time-reversal matrix,Light: Science & Applications,,10.1038/s41377-021-00705-4,exclude,exclude,exclude,exclude,exclude,AGREE,yes,wrong_population,wrong_population,wrong_population
K022,2022,Spatiotemporal Flexible Sparse Reconstruction for Rapid Dynamic Contrast-Enhanced MRI.,IEEE transactions on bio-medical engineering,34166181,10.1109/tbme.2021.3091881,include,include,include,include,include,AGREE,yes,,,
K023,1995,Using an image database to constrain the acquisition and reconstruction of MR images of the human head,IEEE Transactions on Medical Imaging,,10.1109/42.387716,unsure,unsure,unsure,unsure,include,,yes,,,
K024,2022,Texture Analysis in Brain Tumor MR Imaging.,Magnetic resonance in medical sciences,33692222,10.2463/mrms.rev.2020-0159,exclude,exclude,exclude,exclude,background_only,,yes,review_editorial_protocol_commentary,review_editorial_protocol_commentary,review_editorial_protocol_commentary
K025,2020,Self-calibrating wave-encoded 3D turbo spin echo imaging using subspace model based autofocusing,,,10.1002/mrm.28007,include,include,include,include,exclude,DISAGREE,yes,,,
K026,2025,Conditional deep generative normative modeling for structural and developmental anomaly detection in the fetal brain.,NeuroImage,40912664,10.1016/j.neuroimage.2025.121442,include,exclude,exclude,exclude,include,DISAGREE,no,,wrong_intervention_or_index,wrong_intervention_or_index
K027,2019,Conductive gel bridge sensor for motion tracking in simultaneous EEG-fMRI recordings,,,10.1016/j.eplepsyres.2018.12.008,exclude,exclude,exclude,exclude,exclude,AGREE,yes,wrong_intervention_or_index,wrong_intervention_or_index,wrong_intervention_or_index
K028,2025,Dual-Network Deep Learning for Accelerated Head and Neck MRI,,,10.1002/hed.28255,exclude,exclude,exclude,exclude,exclude,AGREE,yes,wrong_population,wrong_population,wrong_population
K029,2020,Volumetric mapping of intra- and extracellular pH in the human brain using 31 P MRSI at 7T.,Magnetic resonance in medicine,32237169,10.1002/mrm.28255,exclude,exclude,exclude,exclude,exclude,AGREE,yes,wrong_intervention_or_index,wrong_outcome,wrong_outcome
K030,2025,Reliability assessment of accelerated MR sequences for the estimation of structural and vascular markers in dementia.,Scientific reports,40240759,10.1038/s41598-025-87224-z,include,include,include,include,include,AGREE,yes,,,
K031,2020,"High-fidelity, high-isotropic-resolution diffusion imaging through gSlider acquisition with B1+ and T1 corrections and integrated ΔB0/Rx shim array.",Magnetic resonance in medicine,31373048,10.1002/mrm.27899,include,include,include,include,exclude,DISAGREE,yes,,,
K032,2023,High resolution 0.5mm isotropic T1-weighted and diffusion tensor templates of the brain of non-demented older adults in a common space for the MIITRA atlas.,NeuroImage,37783362,10.1016/j.neuroimage.2023.120387,exclude,unsure,exclude,exclude,exclude,AGREE,no,wrong_intervention_or_index,,wrong_intervention_or_index
K033,2026,Accelerating CEST MRI through complementary undersampling and multi-offset transformer reconstruction,Communications Engineering,,10.1038/s44172-025-00580-6,include,include,include,include,include,AGREE,yes,,,
K034,2026,Improved Simultaneous Multislice EPI Reconstruction for Diffusion MRI using regularized iterative phase error-corrected SENSE.,NeuroImage,41512942,10.1016/j.neuroimage.2026.121684,include,include,include,include,exclude,DISAGREE,yes,,,
K035,2022,Self-navigated prospective motion correction for 3D-EPI acquisition,,,10.1002/mrm.29202,include,include,include,include,exclude,DISAGREE,yes,,,
K036,2021,White matter volume not associated with hallucinations in clinical high risk and first-episode psychosis: A voxel-based morphometry study.,Psychiatry and clinical neurosciences,34191366,10.1111/pcn.13284,exclude,exclude,exclude,exclude,exclude,AGREE,yes,out_of_scope,wrong_intervention_or_index,wrong_intervention_or_index
K037,2025,EDGeNet Electroencephalography Denoising Efficient Network for Fast Artifact Removal,,,10.1109/embc58623.2025.11253564,exclude,exclude,exclude,exclude,exclude,AGREE,yes,wrong_population,wrong_population,wrong_population
K038,2003,Diffusion-weighted imaging of the spine: is it reliable?,AJNR. American journal of neuroradiology,12812965,,exclude,exclude,exclude,exclude,exclude,AGREE,yes,review_editorial_protocol_commentary,review_editorial_protocol_commentary,review_editorial_protocol_commentary
K039,2020,Spiral T1 Spin-Echo for Routine Postcontrast Brain MRI Exams: A Multicenter Multireader Clinical Evaluation.,AJNR. American journal of neuroradiology,32029467,10.3174/ajnr.a6409,include,include,include,include,exclude,DISAGREE,yes,,,
K040,2024,Enhancing Prenatal Diagnosis Automated Fetal Brain MRI Morphology,,,10.1007/978-3-031-73260-7/10,unsure,include,exclude,unsure,exclude,,no,,,wrong_intervention_or_index
K041,2024,MICCAI conference chapter,,,10.1007/978-3-031-72111-3/32,exclude,exclude,exclude,exclude,exclude,AGREE,yes,wrong_intervention_or_index,wrong_intervention_or_index,wrong_intervention_or_index
K042,2023,Clinical Evaluation of Scout Accelerated Motion Estimation and Reduction Technique for 3D MR Imaging in the Inpatient and Emergency Department Settings.,AJNR. American journal of neuroradiology,36702502,10.3174/ajnr.a7777,include,include,include,include,include,AGREE,yes,,,
K043,2026,Motion-Informed 3D Deep Learning Reconstruction in Patients with Cognitive Impairment,AJNR Am J Neuroradiol,,10.3174/ajnr.a8977,include,include,include,include,include,AGREE,yes,,,
K044,2021,Improved Reliability of Automated ASPECTS Evaluation Using Iterative Model Reconstruction from Head CT Scans.,Journal of neuroimaging : official journal of the American Society of Neuroimaging,33421036,10.1111/jon.12810,exclude,exclude,exclude,exclude,exclude,AGREE,yes,wrong_population,wrong_population,wrong_population
K045,2024,Deep Convolutional Backbone Comparison for Automated PET Image Quality Assessment,IEEE Transactions on Radiation and Plasma Medical Sciences,,10.1109/trpms.2024.3436697,exclude,exclude,exclude,exclude,exclude,AGREE,yes,wrong_population,wrong_population,wrong_population
K046,2020,A hybrid method for artifact removal of visual evoked EEG,,,10.1016/j.jneumeth.2020.108638,exclude,exclude,exclude,exclude,exclude,AGREE,yes,wrong_population,wrong_population,wrong_population
K047,2020,Self-Navigated Three-Dimensional Ultrashort Echo Time Technique for Motion-Corrected Skull MRI.,IEEE transactions on medical imaging,32149683,10.1109/tmi.2020.2978405,exclude,exclude,exclude,exclude,exclude,AGREE,yes,wrong_population,wrong_population,wrong_population
K048,2020,Automated adaptive preconditioner for quantitative susceptibility mapping.,Magnetic resonance in medicine,31402519,10.1002/mrm.27900,include,unsure,exclude,unsure,exclude,,no,,,wrong_intervention_or_index
K049,2026,Denoising of 4D dynamic PET images using spatiotemporal regularization with integrated temporal restoration (SPRINTER).,EJNMMI physics,42315816,10.1186/s40658-026-00898-w,exclude,exclude,exclude,exclude,exclude,AGREE,yes,wrong_population,wrong_population,wrong_population
K050,2018,In vivo self-gated 23Na MRI at 7 T using an oval-shaped body resonator,,,10.1002/mrm.27103,exclude,exclude,exclude,exclude,exclude,AGREE,yes,wrong_population,wrong_population,wrong_population
K051,2025,CAF CrossAttentionFusion for Unsupervised Brain MRI Segmentation,2025 International Conference on Big Data and Data Mining (BDDM),,10.1109/bddm68348.2025.11442193,exclude,exclude,exclude,exclude,exclude,AGREE,yes,wrong_intervention_or_index,wrong_intervention_or_index,wrong_intervention_or_index
K052,2019,High Isotropic Resolution T2 Mapping of the Lumbosacral Plexus with T2-Prepared 3D Turbo Spin Echo.,Clinical neuroradiology,29322233,10.1007/s00062-017-0658-9,exclude,exclude,exclude,exclude,exclude,AGREE,yes,wrong_population,wrong_population,wrong_population
K053,2022,[Improvement of Motion Artifacts in Brain MRI Using Deep Learning by Simulation Training Data].,Nihon Hoshasen Gijutsu Gakkai zasshi,35046218,10.6009/jjrt.780108,include,exclude,exclude,exclude,include,DISAGREE,no,,non_english,non_english
K054,2026,Highly Undersampled MRI Reconstruction via a Single Posterior Sampling of Diffusion Models,IEEE Transactions on Medical Imaging,,10.1109/TMI.2026.3654585,unsure,unsure,unsure,unsure,include,,yes,,,
K055,2021,Independent Component Analysis for Noise and Artifact Removal in Three-Dimensional Polarized Light Imaging,Brain-Inspired Computing,,10.1007/978-3-030-82427-3_7,exclude,exclude,exclude,exclude,exclude,AGREE,yes,out_of_scope,wrong_population,wrong_population
K056,2024,Performance Evaluation of Medical Image Denoising using Convolutional Autoencoders,,,10.1109/iccit62134.2024.10701250,include,include,include,include,include,AGREE,yes,,,
K057,2025,Schizophrenia Segmentation From sMRI Data: A Fusion Approach Using U-Net and Vision Transformer-Based Grad-CAM,IEEE Access,11218217,10.1109/access.2025.3625766,exclude,exclude,exclude,exclude,exclude,AGREE,yes,wrong_intervention_or_index,wrong_intervention_or_index,wrong_intervention_or_index
K058,2025,Interpretable Multimodal Brain Image Fusion for Alzheimer's Diagnosis Via a Siamese Autoencoder,,,10.1109/nss/mic/rtsd57106.2025.11287936,exclude,exclude,exclude,exclude,exclude,AGREE,yes,wrong_intervention_or_index,wrong_intervention_or_index,wrong_intervention_or_index
K059,2023,ASSURED Self-Supervised Deep Decoder Network for Fetus Brain MRI Reconstru,,,10.1109/isbi53787.2023.10230366,include,include,include,include,exclude,DISAGREE,yes,,,
K060,2022,DualMMP-GAN Dual-scale multi-modality perceptual generative adversarial network,,,10.1016/j.compbiomed.2022.105387,include,exclude,exclude,exclude,exclude,AGREE,no,,wrong_intervention_or_index,wrong_intervention_or_index
K061,2022,Model-based dynamic off-resonance correction for improved accelerated fMRI in awake behaving nonhuman primates.,Magnetic resonance in medicine,35081259,10.1002/mrm.29167,exclude,exclude,exclude,exclude,exclude,AGREE,yes,wrong_population,wrong_population,wrong_population
K062,2021,Enhanced design matrix for task-related fMRI data analysis.,NeuroImage,34775007,10.1016/j.neuroimage.2021.118719,exclude,exclude,exclude,exclude,exclude,AGREE,yes,wrong_intervention_or_index,wrong_intervention_or_index,wrong_intervention_or_index
K063,2019,Rigid-body motion correction in hybrid PET/MRI using spherical navigator echoes.,Physics in medicine and biology,30884475,10.1088/1361-6560/ab10b2,include,include,include,include,exclude,DISAGREE,yes,,,
K064,2023,Development of Software Tools Based on Clinical Data and Phantom Studies for Mathematical Simulation Modeling to Assess Brain Perfusion and Improve Image Quality During SPECT/CT with 99mTc-GMPAO,Medical Radiology and radiation safety,,10.33266/1024-6177-2023-68-6-106-117,exclude,exclude,exclude,exclude,exclude,AGREE,yes,out_of_scope,wrong_population,wrong_population
K065,2022,Accuracy investigations for volumetric head-motion navigators with and without EPI at 7 T.,Magnetic resonance in medicine,35576128,10.1002/mrm.29296,include,include,include,include,exclude,DISAGREE,yes,,,
K066,2025,Autoencoder-Driven Fiducial Landmark Identification in 3D Brain MRI for Neuroimaging Alignment,IEEE ACCESS,,10.1109/access.2025.3582273,unsure,unsure,exclude,unsure,exclude,,no,,,wrong_intervention_or_index
K067,2022,In-plane simultaneous multisegment imaging using a 2D RF pulse.,Magnetic resonance in medicine,34350601,10.1002/mrm.28956,include,include,include,include,exclude,DISAGREE,yes,,,
K068,2017,A comprehensive numerical analysis of background phase correction with V-SHARP.,NMR in biomedicine,27259117,10.1002/nbm.3550,exclude,exclude,exclude,exclude,exclude,AGREE,yes,wrong_intervention_or_index,wrong_intervention_or_index,wrong_intervention_or_index
K069,2024,MCDDPM: Multichannel Conditional Denoising Diffusion Model for Unsupervised Anomaly Detection in Brain MRI,"2024 17th International Congress on Image and Signal Processing, BioMedical Engineering and Informatics (CISP-BMEI)",,10.1109/CISP-BMEI64163.2024.10906217,unsure,exclude,exclude,exclude,include,DISAGREE,no,,wrong_outcome,wrong_intervention_or_index
K070,2025,"Assessment of AI-accelerated T2-weighted brain MRI, based on clinical ratings and image quality evaluation.",European journal of radiology,40315626,10.1016/j.ejrad.2025.112123,include,include,include,include,include,AGREE,yes,,,
K071,2024,Integrating DCCS-Net for High-Fidelity Watermarking and Tampering Detection,,,10.1109/icccmla63077.2024.10871454,unsure,exclude,exclude,exclude,exclude,AGREE,no,,wrong_intervention_or_index,wrong_intervention_or_index
K072,2026,CWT and phase congruency moments based multimodal image fusion,,,10.1007/s11042-026-21417-0,exclude,exclude,exclude,exclude,exclude,AGREE,yes,wrong_intervention_or_index,wrong_intervention_or_index,wrong_intervention_or_index
K073,2021,Quantitative Evaluation of Synthesized Brain PET Using a Variational Autoenc,,,10.1109/nss/mic44867.2021.9875443,exclude,exclude,exclude,exclude,exclude,AGREE,yes,out_of_scope,wrong_population,wrong_population
K074,2016,Optimized parallel transmit and receive radiofrequency coil for ultrahigh-field MRI of monkeys,,,10.1016/j.neuroimage.2015.10.048,exclude,exclude,exclude,exclude,exclude,AGREE,yes,wrong_population,wrong_population,wrong_population
K075,2020,Echo-planar imaging of the human head with 100 mT_m gradients and high-order modeling of eddy current fields,,,10.1002/mrm.28168,include,include,include,include,exclude,DISAGREE,yes,,,
K076,2024,On The Local Geometry of the Pet Reconstruction Problem,2024 IEEE International Symposium on Biomedical Imaging (ISBI),,10.1109/ISBI56570.2024.10635309,exclude,exclude,exclude,exclude,exclude,AGREE,yes,out_of_scope,wrong_population,wrong_population
K077,2020,Correction of Motion Artifacts Using a Multiscale Fully Convolutional Neural Network.,AJNR. American journal of neuroradiology,32054615,10.3174/ajnr.a6436,include,include,include,include,include,AGREE,yes,,,
K078,2023,Brain Tumor Recognition from MRI Using Deep Learning with Data Augmentation,,,10.1007/978-981-99-7093-3/35,exclude,exclude,exclude,exclude,exclude,AGREE,yes,wrong_outcome,wrong_intervention_or_index,wrong_intervention_or_index
K079,2026,IterMask3D: Unsupervised anomaly detection and segmentation with test-time iterative mask refinement in 3D brain MRI.,Medical image analysis,40945172,10.1016/j.media.2025.103763,include,exclude,exclude,exclude,include,DISAGREE,no,,wrong_outcome,wrong_intervention_or_index
K080,2026,Diffusion Model-Based Motion Correction in Portable Computed Tomography for Brain: A Human Observer Study.,Academic radiology,41500858,10.1016/j.acra.2025.12.028,exclude,exclude,exclude,exclude,exclude,AGREE,yes,out_of_scope,wrong_population,wrong_population
K081,2019,Bundle-specific tractography with incorporated anatomical and orientational priors.,NeuroImage,30453031,10.1016/j.neuroimage.2018.11.018,exclude,exclude,exclude,exclude,exclude,AGREE,yes,wrong_intervention_or_index,wrong_intervention_or_index,wrong_intervention_or_index
K082,2016,De Novo Emergence of Odor Category Representations in the Human Brain.,The Journal of neuroscience,26758838,10.1523/JNEUROSCI.3248-15.2016,exclude,exclude,exclude,exclude,exclude,AGREE,yes,wrong_intervention_or_index,wrong_intervention_or_index,wrong_intervention_or_index
K083,2019,Sparsity and locally low rank regularization for MR fingerprinting.,Magnetic resonance in medicine,30720209,10.1002/mrm.27665,include,include,include,include,exclude,DISAGREE,yes,,,
K084,2023,Image quality assessment for MRI Is it up to the task,,,10.1109/euvip58404.2023.10323060,exclude,exclude,exclude,exclude,background_only,,yes,review_editorial_protocol_commentary,review_editorial_protocol_commentary,review_editorial_protocol_commentary
K085,2018,Accuracy and Reliability of Multiphase CTA Perfusion for Identifying Ischemic Core,,,10.1007/s00062-018-0717-x,exclude,exclude,exclude,exclude,exclude,AGREE,yes,wrong_population,wrong_population,wrong_population
K086,2018,Low dose CBCT reconstruction via prior contour based total variation (PCTV) regularization: a feasibility study.,Physics in medicine and biology,29537385,10.1088/1361-6560/aab68d,exclude,exclude,exclude,exclude,exclude,AGREE,yes,wrong_population,wrong_population,wrong_population
K087,2023,Functional Alignment-Auxiliary Generative Adversarial Network-Based Visual Stimuli Reconstruction via Multi-Subject fMRI.,IEEE transactions on neural systems and rehabilitation engineering : a publication of the IEEE Engineering in Medicine and Biology Society,37279132,10.1109/tnsre.2023.3283405,exclude,exclude,exclude,exclude,exclude,AGREE,yes,wrong_intervention_or_index,wrong_intervention_or_index,wrong_intervention_or_index
K088,2015,A novel regularized K-SVD dictionary learning based medical image,,,10.1007/s11042-015-2744-9,include,include,include,include,exclude,DISAGREE,yes,,,
K089,2025,Modified energy-based GAN for intensity in homogeneity correction in brain MR images.,Scientific reports,40691452,10.1038/s41598-025-08552-8,include,include,include,include,include,AGREE,yes,,,
K090,2024,Physically informed deep neural networks for metabolite-corrected plasma input function estimation in dynamic PET imaging.,Computer methods and programs in biomedicine,39180914,10.1016/j.cmpb.2024.108375,exclude,exclude,exclude,exclude,exclude,AGREE,yes,wrong_population,wrong_population,wrong_population
K091,2024,A 3D Sparse Autoencoder for Fully Automated Quality Control of Affine Registrations in Big Data Brain MRI Studies,Journal of Imaging Informatics in Medicine,,10.1007/s10278-023-00933-7,exclude,exclude,exclude,exclude,exclude,AGREE,yes,wrong_intervention_or_index,wrong_intervention_or_index,wrong_intervention_or_index
K092,2022,Accelerated 3D T2-weighted images using compressed sensing,Neuroradiology,,10.1007/s00234-022-03028-2,include,include,include,include,exclude,DISAGREE,yes,,,
K093,2022,Data-driven learning to identify biomarkers in bipolar disorder,,,10.1016/j.cmpb.2022.107112,exclude,exclude,exclude,exclude,exclude,AGREE,yes,wrong_intervention_or_index,wrong_intervention_or_index,wrong_intervention_or_index
K094,2025,Personalized MRI-based characterization of subcortical anomalies in Ataxia-Telangiectasia using deep-learning.,PloS one,40880371,10.1371/journal.pone.0328828,exclude,exclude,exclude,exclude,exclude,AGREE,yes,wrong_intervention_or_index,wrong_intervention_or_index,wrong_intervention_or_index
K095,2025,Clinical evaluation of scout accelerated motion estimation,,,10.1007/s00247-025-06250-1,include,include,include,include,exclude,DISAGREE,yes,,,
K096,2013,Anisotropic smoothing regularization (AnSR) in Thirion's Demons registration evaluates brain MRI tissue changes post-laser ablation.,IEEE EMBC Annual International Conference,24110610,10.1109/EMBC.2013.6610423,exclude,exclude,exclude,exclude,exclude,AGREE,yes,wrong_intervention_or_index,wrong_intervention_or_index,wrong_intervention_or_index
K097,2020,Efficient Reconstruction Technique for Multi-Slice CS-MRI Using Novel Interpolation and 2D Sampling Scheme,IEEE Access,9123887,10.1109/access.2020.3004731,include,include,include,include,exclude,DISAGREE,yes,,,
K098,2025,Learning Perspective Distortion Correction in Cone-Beam X-Ray Transmission Imaging,,,10.1109/trpms.2025.3551501,exclude,exclude,exclude,exclude,exclude,AGREE,yes,wrong_population,wrong_population,wrong_population
K099,2018,Density-weighted concentric circle trajectories for high resolution brain magnetic resonance spectroscopic imaging at 7T.,Magnetic resonance in medicine,29106742,10.1002/mrm.26987,include,include,include,include,exclude,DISAGREE,yes,,,
K100,2023,Machine learning based dynamic consensus model for predicting blood-brain barrier permeability,Computers in Biology and Medicine,,10.1016/j.compbiomed.2023.106984,exclude,exclude,exclude,exclude,exclude,AGREE,yes,out_of_scope,out_of_scope,out_of_scope
K101,2019,Phase Image Texture Analysis for Motion Detection in Diffusion MRI (PITA-MDD).,Magnetic resonance imaging,31319127,10.1016/j.mri.2019.07.009,include,include,include,include,exclude,DISAGREE,yes,,,
K102,2023,Encoder-Decoder Contrast for Unsupervised Anomaly Detection in Medical Images,IEEE Transactions on Medical Imaging,,10.1109/tmi.2023.3327720,exclude,exclude,exclude,exclude,exclude,AGREE,yes,wrong_intervention_or_index,wrong_intervention_or_index,wrong_intervention_or_index
K103,2023,Accelerated Motion Correction for MRI Using Score-Based Generative Models,,,10.1109/isbi53787.2023.10230457,include,include,include,include,exclude,DISAGREE,yes,,,
K104,2024,CT Image Denoising and Deblurring With Deep Learning: Current Status and Perspectives,IEEE Transactions on Radiation and Plasma Medical Sciences,10354073,10.1109/trpms.2023.3341903,exclude,exclude,exclude,exclude,exclude,AGREE,yes,review_editorial_protocol_commentary,review_editorial_protocol_commentary,review_editorial_protocol_commentary
K105,2026,TomoRay cranial: synthesis of cranial CT imaging from biplanar radiographs using a generative adversarial network,European Radiology,,10.1007/s00330-025-12253-1,exclude,exclude,exclude,exclude,exclude,AGREE,yes,wrong_population,wrong_population,wrong_population
K106,2024,Differentiation of glioblastoma from solitary brain metastasis using deep ensembles,Computer Methods and Programs in Biomedicine,,10.1016/j.cmpb.2024.108288,exclude,exclude,exclude,exclude,exclude,AGREE,yes,wrong_intervention_or_index,wrong_intervention_or_index,wrong_intervention_or_index
K107,2026,Deep Learning-Accelerated 3D FLAIR Enables Reliable MS Lesion Detection,AJNR Am J Neuroradiol,,10.3174/ajnr.a9140,include,include,include,include,include,AGREE,yes,,,
K108,2020,Recalibrating the epigenetic clock: implications for assessing biological age in the human cortex.,Brain,33300551,10.1093/brain/awaa334,exclude,exclude,exclude,exclude,exclude,AGREE,yes,out_of_scope,out_of_scope,out_of_scope
K109,2023,Geometric Reliability of Super-Resolution Reconstructed Images from Clinical Fetal MRI in the Second Trimester.,Neuroinformatics,37284977,10.1007/s12021-023-09635-5,include,include,include,include,include,AGREE,yes,,,
K110,2025,Incorporating Radiologist Knowledge Into MRI Quality Metrics for Machine Learning Using Rank-Based Ratings.,Journal of magnetic resonance imaging : JMRI,39690114,10.1002/jmri.29672,include,include,include,include,include,AGREE,yes,,,
K111,2020,A segmentation-independent volume rendering visualisation method,,,10.1007/s00330-020-06715-x,exclude,exclude,exclude,exclude,exclude,AGREE,yes,wrong_intervention_or_index,wrong_intervention_or_index,wrong_intervention_or_index
K112,2017,Simultaneous maximum a posteriori longitudinal PET image reconstruction.,Physics in medicine and biology,28643694,10.1088/1361-6560/aa7b49,exclude,exclude,exclude,exclude,exclude,AGREE,yes,wrong_population,wrong_population,wrong_population
K113,2020,Multi-Echo Recovery with Field Inhomogeneity Compensation Using Structured Low-Rank Matrix Completion,2020 IEEE 17th International Symposium on Biomedical Imaging (ISBI),,10.1109/isbi45749.2020.9098418,unsure,unsure,unsure,unsure,exclude,,yes,,,
K114,2018,Magnetic Resonance Imaging beyond the proton what does oxygen-17 MRI have to offer,,,10.1016/j.zemedi.2018.01.003,exclude,exclude,exclude,exclude,exclude,AGREE,yes,review_editorial_protocol_commentary,review_editorial_protocol_commentary,review_editorial_protocol_commentary
K115,2022,Unsupervised arterial spin labeling image superresolution via multiscale generative adversarial network,,,10.1002/mp.15468,include,include,include,include,exclude,DISAGREE,yes,,,
K116,2025,AutoCorNN: An Unsupervised Physics-Aware Deep Learning Model for Geometric Distortion Correction of Brain MRI Images Towards MR-Only Stereotactic Radiosurgery.,Journal of imaging informatics in medicine,39080159,10.1007/s10278-024-01171-1,include,include,include,include,include,AGREE,yes,,,
K117,2021,GPU based parallel framework for receiver coil sensitivity estimation in SENSE reconstruction,,,10.1016/j.mri.2021.04.009,include,include,include,include,exclude,DISAGREE,yes,,,
K118,2019,Reducing Acoustic Inhomogeneity in Microwave Induced Thermoacoustic Tomography,,,10.1109/tbme.2019.2957535,exclude,exclude,exclude,exclude,exclude,AGREE,yes,wrong_population,wrong_population,wrong_population
K119,2019,Compressed Sensing-Sensitivity Encoding (CS-SENSE) Accelerated Brain Imaging: Reduced Scan Time without Reduced Image Quality.,AJNR. American journal of neuroradiology,30523142,10.3174/ajnr.A5905,include,include,include,include,include,AGREE,yes,,,
K120,2007,Importance of axial postcontrast images in the differential diagnosis,,,10.1016/j.clineuro.2007.07.017,exclude,exclude,exclude,exclude,exclude,AGREE,yes,review_editorial_protocol_commentary,review_editorial_protocol_commentary,review_editorial_protocol_commentary
K121,2019,Network Accelerated Motion Estimation and Reduction (NAMER): Convolutional neural network guided retrospective motion correction using a separable motion model.,Magnetic resonance in medicine,31045278,10.1002/mrm.27771,include,include,include,include,include,AGREE,yes,,,
K122,2023,Influence of image contrasts and reconstruction methods on the classification of multiple sclerosis-like lesions in simulated sodium magnetic resonance imaging.,Magnetic resonance in medicine,36373186,10.1002/mrm.29476,exclude,unsure,exclude,exclude,exclude,AGREE,no,wrong_population,,wrong_population
